head := query_10Centriod
0-th query  distance:=60440
1667-th query  distance:=37191.4
1668-th query  distance:=56091.7
1669-th query  distance:=53647.7
1670-th query  distance:=31572.1
1671-th query  distance:=44689.6
1672-th query  distance:=49529.6
1673-th query  distance:=45564
1674-th query  distance:=55855.8
1675-th query  distance:=44336
1676-th query  distance:=34443.5
1677-th query  distance:=52230.2
1678-th query  distance:=43483.7
1679-th query  distance:=32878.7
1680-th query  distance:=59849.2
1681-th query  distance:=40141.2
1682-th query  distance:=12924.2
1683-th query  distance:=34225.5
1684-th query  distance:=31054.2
1685-th query  distance:=48065.2
1686-th query  distance:=52943.4
1687-th query  distance:=20284.7
1688-th query  distance:=44955.5
1689-th query  distance:=30761.1
1690-th query  distance:=40521.9
1691-th query  distance:=27104.3
1692-th query  distance:=37440.7
1693-th query  distance:=45630.6
1694-th query  distance:=52969.5
1695-th query  distance:=44459.5
1696-th query  distance:=39278.9
1697-th query  distance:=62106.1
1698-th query  distance:=33690.8
1699-th query  distance:=39551.4
1700-th query  distance:=80461.8
1701-th query  distance:=66643.1
1702-th query  distance:=54898.2
1703-th query  distance:=21576.9
1704-th query  distance:=24576.1
1705-th query  distance:=31959
1706-th query  distance:=23201.1
1707-th query  distance:=36344.7
1708-th query  distance:=48147.2
1709-th query  distance:=25346.2
1710-th query  distance:=47130
1711-th query  distance:=48018.7
1712-th query  distance:=36588.3
1713-th query  distance:=56394
1714-th query  distance:=34196
1715-th query  distance:=45025.6
1716-th query  distance:=48403.3
1717-th query  distance:=30107
1718-th query  distance:=16792.6
1719-th query  distance:=51912.2
1720-th query  distance:=22329
1721-th query  distance:=42548.3
1722-th query  distance:=41241.6
1723-th query  distance:=47081.1
1724-th query  distance:=52460.7
1725-th query  distance:=21595.9
1726-th query  distance:=55475.6
1727-th query  distance:=40979.2
1728-th query  distance:=62342.3
1729-th query  distance:=50386.9
1730-th query  distance:=59850.6
1731-th query  distance:=38980.8
1732-th query  distance:=33810.8
1733-th query  distance:=63564.3
1734-th query  distance:=49709.7
1735-th query  distance:=19741.2
1736-th query  distance:=66543.6
1737-th query  distance:=23568
1738-th query  distance:=52272.9
1739-th query  distance:=56438.3
1740-th query  distance:=26277.2
1741-th query  distance:=34697.4
1742-th query  distance:=58849.6
1743-th query  distance:=40987.8
1744-th query  distance:=31548.9
1745-th query  distance:=35984.6
1746-th query  distance:=48995
1747-th query  distance:=56069
1748-th query  distance:=29992.8
1749-th query  distance:=44669.8
1750-th query  distance:=34991.7
1751-th query  distance:=69257.7
1752-th query  distance:=42682.6
1753-th query  distance:=39844.8
1754-th query  distance:=35560.3
1755-th query  distance:=46119.7
1756-th query  distance:=61646.1
1757-th query  distance:=47007.5
1758-th query  distance:=43013.3
1759-th query  distance:=42026.7
1760-th query  distance:=57644.1
1761-th query  distance:=44975.9
1762-th query  distance:=38781.3
1763-th query  distance:=26837.8
1764-th query  distance:=53944.1
1765-th query  distance:=53447.8
1766-th query  distance:=23102.9
1767-th query  distance:=5263.12
1768-th query  distance:=29076.9
1769-th query  distance:=70393.4
1770-th query  distance:=29084.4
1771-th query  distance:=16240.9
1772-th query  distance:=19875
1773-th query  distance:=33882.2
1774-th query  distance:=4393.59
1775-th query  distance:=25265.1
1776-th query  distance:=58696.9
1777-th query  distance:=8138.18
1778-th query  distance:=31457.7
1779-th query  distance:=70971.6
1780-th query  distance:=5934.1
1781-th query  distance:=33158.1
1782-th query  distance:=61917.3
1783-th query  distance:=55767.9
1784-th query  distance:=35876
1785-th query  distance:=10561.4
1786-th query  distance:=2285.12
1787-th query  distance:=45244.5
1788-th query  distance:=31348.1
1789-th query  distance:=12924.8
1790-th query  distance:=50381.2
1791-th query  distance:=44924
1792-th query  distance:=60920.4
1793-th query  distance:=13041.9
1794-th query  distance:=65375.8
1795-th query  distance:=39160.8
1796-th query  distance:=26260.7
1797-th query  distance:=27328.3
1798-th query  distance:=55464.5
1799-th query  distance:=34052.6
1800-th query  distance:=24361.2
1801-th query  distance:=61753.4
1802-th query  distance:=61502
1803-th query  distance:=34669
1804-th query  distance:=14672.7
1805-th query  distance:=32676.9
1806-th query  distance:=42190.7
1807-th query  distance:=55597.9
1808-th query  distance:=53543.1
1809-th query  distance:=6991.47
1810-th query  distance:=56169.5
1811-th query  distance:=61580.3
1812-th query  distance:=40966.8
1813-th query  distance:=56278.1
1814-th query  distance:=12845.3
1815-th query  distance:=25496.5
1816-th query  distance:=30518.5
1817-th query  distance:=58643.9
1818-th query  distance:=44977.9
1819-th query  distance:=62529.6
1820-th query  distance:=44105
1821-th query  distance:=36866.8
1822-th query  distance:=48639
1823-th query  distance:=53467.8
1824-th query  distance:=27546.1
1825-th query  distance:=48155.5
1826-th query  distance:=6867.1
1827-th query  distance:=7558.95
1828-th query  distance:=60857.1
1829-th query  distance:=31377.1
1830-th query  distance:=39053.8
1831-th query  distance:=4883.13
1832-th query  distance:=25061.2
1833-th query  distance:=50512.1
1834-th query  distance:=15972.9
1835-th query  distance:=76552.5
1836-th query  distance:=27850.3
1837-th query  distance:=50073.1
1838-th query  distance:=8586.39
1839-th query  distance:=42148.3
1840-th query  distance:=25386.5
1841-th query  distance:=17440.7
1842-th query  distance:=54501.7
1843-th query  distance:=29988.1
1844-th query  distance:=35346.6
1845-th query  distance:=5183.24
1846-th query  distance:=37201.8
1847-th query  distance:=47573.8
1848-th query  distance:=45526.3
1849-th query  distance:=46288.4
1850-th query  distance:=36412.7
1851-th query  distance:=39124.9
1852-th query  distance:=33032.6
1853-th query  distance:=46062.8
1854-th query  distance:=23623.6
1855-th query  distance:=18510.8
1856-th query  distance:=17320.2
1857-th query  distance:=61390.1
1858-th query  distance:=56271
1859-th query  distance:=36451.9
1860-th query  distance:=32136
1861-th query  distance:=61062.3
1862-th query  distance:=54020.3
1863-th query  distance:=39166.2
1864-th query  distance:=24575.1
1865-th query  distance:=15416.6
1866-th query  distance:=40933.3
1867-th query  distance:=42846.5
1868-th query  distance:=35207.4
1869-th query  distance:=26337.5
1870-th query  distance:=25800.4
1871-th query  distance:=52232.9
1872-th query  distance:=31266.9
1873-th query  distance:=25508.7
1874-th query  distance:=39219.2
1875-th query  distance:=40794.9
1876-th query  distance:=24923.3
1877-th query  distance:=41788.4
1878-th query  distance:=58807.9
1879-th query  distance:=56439.7
1880-th query  distance:=44693.9
1881-th query  distance:=15013
1882-th query  distance:=60032.3
1883-th query  distance:=13061.9
1884-th query  distance:=38607.4
1885-th query  distance:=51597.5
1886-th query  distance:=16522
1887-th query  distance:=18915.4
1888-th query  distance:=57129.9
1889-th query  distance:=33298.1
1890-th query  distance:=47302
1891-th query  distance:=20757.4
1892-th query  distance:=15630.9
1893-th query  distance:=5151.1
1894-th query  distance:=51208
1895-th query  distance:=46202.8
1896-th query  distance:=35187.1
1897-th query  distance:=16212.1
1898-th query  distance:=56147.7
1899-th query  distance:=11004.6
1900-th query  distance:=48411
1901-th query  distance:=28950.6
1902-th query  distance:=44123.9
1903-th query  distance:=41985.3
1904-th query  distance:=37145.7
1905-th query  distance:=21305.4
1906-th query  distance:=25146.9
1907-th query  distance:=31974.6
1908-th query  distance:=8351.5
1909-th query  distance:=41231.7
1910-th query  distance:=14604.2
1911-th query  distance:=30334.1
1912-th query  distance:=17661.9
1913-th query  distance:=42594.3
1914-th query  distance:=19218.3
1915-th query  distance:=53781.8
1916-th query  distance:=47998
1917-th query  distance:=51617.4
1918-th query  distance:=49410.7
1919-th query  distance:=42030.6
1920-th query  distance:=25587.5
1921-th query  distance:=31167.5
1922-th query  distance:=69700.5
1923-th query  distance:=53465.6
1924-th query  distance:=25898.3
1925-th query  distance:=50582.5
1926-th query  distance:=56407.4
1927-th query  distance:=27112.7
1928-th query  distance:=46052.5
1929-th query  distance:=51926.8
1930-th query  distance:=8070.99
1931-th query  distance:=40738.4
1932-th query  distance:=16088.6
1933-th query  distance:=46572.5
1934-th query  distance:=54341.2
1935-th query  distance:=34055.9
1936-th query  distance:=21342.3
1937-th query  distance:=58651.6
1938-th query  distance:=36139.3
1939-th query  distance:=46215.6
1940-th query  distance:=19770.4
1941-th query  distance:=50970.7
1942-th query  distance:=52925.2
1943-th query  distance:=54683.6
1944-th query  distance:=43598.6
1945-th query  distance:=70004.7
1946-th query  distance:=32370.8
1947-th query  distance:=33658.2
1948-th query  distance:=63961.9
1949-th query  distance:=38170.4
1950-th query  distance:=38656.3
1951-th query  distance:=68216.7
1952-th query  distance:=49501
1953-th query  distance:=27508.1
1954-th query  distance:=64112.9
1955-th query  distance:=61522.9
1956-th query  distance:=39113.6
1957-th query  distance:=16850.3
1958-th query  distance:=15501.6
1959-th query  distance:=47431.9
1960-th query  distance:=52298.8
1961-th query  distance:=28120.1
1962-th query  distance:=46599.6
1963-th query  distance:=34989.2
1964-th query  distance:=28807.9
1965-th query  distance:=14265.2
1966-th query  distance:=56529.9
1967-th query  distance:=52411.8
1968-th query  distance:=21470.7
1969-th query  distance:=42022.2
1970-th query  distance:=69115.4
1971-th query  distance:=62377.9
1972-th query  distance:=39206.3
1973-th query  distance:=54348.7
1974-th query  distance:=37329.6
1975-th query  distance:=62982.2
1976-th query  distance:=64077.1
1977-th query  distance:=5641.65
1978-th query  distance:=46773.3
1979-th query  distance:=40217.2
1980-th query  distance:=46022.3
1981-th query  distance:=15698.5
1982-th query  distance:=25264.6
1983-th query  distance:=49891.4
1984-th query  distance:=13662.4
1985-th query  distance:=38097.9
1986-th query  distance:=5362.25
1987-th query  distance:=83523.1
1988-th query  distance:=53811.5
1989-th query  distance:=34408.2
1990-th query  distance:=41801.5
1991-th query  distance:=54731.9
1992-th query  distance:=53105.5
1993-th query  distance:=55887.8
1994-th query  distance:=25569.7
1995-th query  distance:=40389.6
1996-th query  distance:=64858.5
1997-th query  distance:=46909.5
1998-th query  distance:=35464
1999-th query  distance:=33840.3
2000-th query  distance:=46593.2
2001-th query  distance:=10490.7
2002-th query  distance:=46149.3
2003-th query  distance:=11604.5
2004-th query  distance:=16886.5
2005-th query  distance:=53052.5
2006-th query  distance:=23236.5
2007-th query  distance:=33862.9
2008-th query  distance:=52303.1
2009-th query  distance:=52260.3
2010-th query  distance:=39870
2011-th query  distance:=34604.7
2012-th query  distance:=29443
2013-th query  distance:=18009.8
2014-th query  distance:=10050.9
2015-th query  distance:=19754
2016-th query  distance:=42350.5
2017-th query  distance:=34914.3
2018-th query  distance:=48949.6
2019-th query  distance:=30120.7
2020-th query  distance:=36986.3
2021-th query  distance:=57574.9
2022-th query  distance:=34362.3
2023-th query  distance:=35998.9
2024-th query  distance:=39192.4
2025-th query  distance:=29041.6
2026-th query  distance:=18337.2
2027-th query  distance:=55475.3
2028-th query  distance:=29744.5
2029-th query  distance:=67763.3
2030-th query  distance:=19336.3
2031-th query  distance:=29270.6
2032-th query  distance:=33770
2033-th query  distance:=58549
2034-th query  distance:=14240.9
2035-th query  distance:=53080.6
2036-th query  distance:=32638.2
2037-th query  distance:=55596.6
2038-th query  distance:=39724.4
2039-th query  distance:=33693
2040-th query  distance:=31011.7
2041-th query  distance:=31598
2042-th query  distance:=49482.1
2043-th query  distance:=32103.9
2044-th query  distance:=14168
2045-th query  distance:=47572.5
2046-th query  distance:=49689.9
2047-th query  distance:=49178.1
2048-th query  distance:=27234
2049-th query  distance:=54896.6
2050-th query  distance:=57340.7
2051-th query  distance:=33884.7
2052-th query  distance:=19862.2
2053-th query  distance:=23592.2
2054-th query  distance:=37697.1
2055-th query  distance:=4600.68
2056-th query  distance:=16135.6
2057-th query  distance:=44394.7
2058-th query  distance:=9071.99
2059-th query  distance:=68505.2
2060-th query  distance:=49811.2
2061-th query  distance:=47310.8
2062-th query  distance:=27324
2063-th query  distance:=44618.7
2064-th query  distance:=8724.45
2065-th query  distance:=56126
2066-th query  distance:=18849.4
2067-th query  distance:=24391.4
2068-th query  distance:=40382.1
2069-th query  distance:=43295
2070-th query  distance:=54062.9
2071-th query  distance:=16815.7
2072-th query  distance:=64296.1
2073-th query  distance:=79396.3
2074-th query  distance:=22589
2075-th query  distance:=11565.9
2076-th query  distance:=37348.1
2077-th query  distance:=42591.8
2078-th query  distance:=6852.22
2079-th query  distance:=38151.2
2080-th query  distance:=41714.9
2081-th query  distance:=38971.5
2082-th query  distance:=48338.9
2083-th query  distance:=37156.2
2084-th query  distance:=55129.1
2085-th query  distance:=35401.7
2086-th query  distance:=26056.5
2087-th query  distance:=31823.7
2088-th query  distance:=69259.8
2089-th query  distance:=35820.6
2090-th query  distance:=12362.9
2091-th query  distance:=46159.9
2092-th query  distance:=3705.59
2093-th query  distance:=56448.2
2094-th query  distance:=33372.5
2095-th query  distance:=31426.9
2096-th query  distance:=36943.8
2097-th query  distance:=34729.1
2098-th query  distance:=37937.5
2099-th query  distance:=43564.3
2100-th query  distance:=52593.7
2101-th query  distance:=50577.2
2102-th query  distance:=22252.5
2103-th query  distance:=68475.5
2104-th query  distance:=31344.2
2105-th query  distance:=35665.2
2106-th query  distance:=60227.8
2107-th query  distance:=75716.7
2108-th query  distance:=28016.2
2109-th query  distance:=54580.8
2110-th query  distance:=48012.7
2111-th query  distance:=32868.7
2112-th query  distance:=33990
2113-th query  distance:=30963.5
2114-th query  distance:=44195.1
2115-th query  distance:=12854.4
2116-th query  distance:=17409.7
2117-th query  distance:=61084.3
2118-th query  distance:=37484.7
2119-th query  distance:=45103.1
2120-th query  distance:=42175.3
2121-th query  distance:=61089.9
2122-th query  distance:=33133.4
2123-th query  distance:=3926.86
2124-th query  distance:=58243.6
2125-th query  distance:=20338.9
2126-th query  distance:=61244.1
2127-th query  distance:=39950.2
2128-th query  distance:=32760.9
2129-th query  distance:=5902.9
2130-th query  distance:=20105
2131-th query  distance:=43966.5
2132-th query  distance:=17481.1
2133-th query  distance:=45324.5
2134-th query  distance:=45454.3
2135-th query  distance:=24769.4
2136-th query  distance:=14103.8
2137-th query  distance:=64252.5
2138-th query  distance:=46653.2
2139-th query  distance:=53847.2
2140-th query  distance:=63158.7
2141-th query  distance:=54496.2
2142-th query  distance:=46025.6
2143-th query  distance:=61202.4
2144-th query  distance:=51308.7
2145-th query  distance:=23885.3
2146-th query  distance:=44029.9
2147-th query  distance:=25324.8
2148-th query  distance:=57023.9
2149-th query  distance:=49832.4
2150-th query  distance:=10171.8
2151-th query  distance:=19428.6
2152-th query  distance:=51318.8
2153-th query  distance:=53788.7
2154-th query  distance:=62113.1
2155-th query  distance:=37413.8
2156-th query  distance:=19873.4
2157-th query  distance:=48382.7
2158-th query  distance:=41772.6
2159-th query  distance:=52696.6
2160-th query  distance:=66103.7
2161-th query  distance:=53056.7
2162-th query  distance:=5598.78
2163-th query  distance:=29392.4
2164-th query  distance:=51228.3
2165-th query  distance:=60957
2166-th query  distance:=54937.1
2167-th query  distance:=56284
2168-th query  distance:=30882.9
2169-th query  distance:=27203
2170-th query  distance:=25405.6
2171-th query  distance:=48558.8
2172-th query  distance:=45687.4
2173-th query  distance:=39928.7
2174-th query  distance:=30034
2175-th query  distance:=37326.6
2176-th query  distance:=45455.7
2177-th query  distance:=47449
2178-th query  distance:=48261.7
2179-th query  distance:=73356
2180-th query  distance:=23378.1
2181-th query  distance:=62963.1
2182-th query  distance:=52953.6
2183-th query  distance:=5886.55
2184-th query  distance:=49626.8
2185-th query  distance:=22960.9
2186-th query  distance:=44674.4
2187-th query  distance:=15026.8
2188-th query  distance:=34957.4
2189-th query  distance:=51389.8
2190-th query  distance:=25322.7
2191-th query  distance:=22421.9
2192-th query  distance:=38877.7
2193-th query  distance:=48547.3
2194-th query  distance:=62545.4
2195-th query  distance:=78415.1
2196-th query  distance:=46615.7
2197-th query  distance:=52820
2198-th query  distance:=37461.4
2199-th query  distance:=9853.65
2200-th query  distance:=47601.9
2201-th query  distance:=24309.8
2202-th query  distance:=53353.2
2203-th query  distance:=43611
2204-th query  distance:=51802.4
2205-th query  distance:=37945.1
2206-th query  distance:=37958
2207-th query  distance:=52984.2
2208-th query  distance:=52184.9
2209-th query  distance:=16352.5
2210-th query  distance:=32222.7
2211-th query  distance:=15811.2
2212-th query  distance:=32698.7
2213-th query  distance:=47639.2
2214-th query  distance:=41745.8
2215-th query  distance:=17002.6
2216-th query  distance:=50283.5
2217-th query  distance:=13691.7
2218-th query  distance:=42233.9
2219-th query  distance:=21346.5
2220-th query  distance:=15968.4
2221-th query  distance:=49558.9
2222-th query  distance:=29110.5
2223-th query  distance:=31468.1
2224-th query  distance:=55221.4
2225-th query  distance:=50738.2
2226-th query  distance:=49081.8
2227-th query  distance:=54510.9
2228-th query  distance:=27195.5
2229-th query  distance:=45903.3
2230-th query  distance:=43641.6
2231-th query  distance:=56120.7
2232-th query  distance:=48781.5
2233-th query  distance:=41450.1
2234-th query  distance:=46934.3
2235-th query  distance:=75167.2
2236-th query  distance:=47082.9
2237-th query  distance:=36346.4
2238-th query  distance:=16207.4
2239-th query  distance:=31128.7
2240-th query  distance:=78097
2241-th query  distance:=19981.9
2242-th query  distance:=34693.7
2243-th query  distance:=16580.4
2244-th query  distance:=55825.3
2245-th query  distance:=43203.6
2246-th query  distance:=55110.9
2247-th query  distance:=44275.3
2248-th query  distance:=45299.2
2249-th query  distance:=21401.3
2250-th query  distance:=28913.6
2251-th query  distance:=51096.9
2252-th query  distance:=53666.8
2253-th query  distance:=26724.8
2254-th query  distance:=62717.4
2255-th query  distance:=47444.4
2256-th query  distance:=48113.1
2257-th query  distance:=27553
2258-th query  distance:=45246.2
2259-th query  distance:=7409.42
2260-th query  distance:=49585.8
2261-th query  distance:=43776.6
2262-th query  distance:=51928
2263-th query  distance:=26404.9
2264-th query  distance:=55966.1
2265-th query  distance:=45343.1
2266-th query  distance:=38950.4
2267-th query  distance:=58478.3
2268-th query  distance:=43888.4
2269-th query  distance:=50835.1
2270-th query  distance:=40857.9
2271-th query  distance:=33913.1
2272-th query  distance:=18006.8
2273-th query  distance:=59590.3
2274-th query  distance:=63482.5
2275-th query  distance:=31725.6
2276-th query  distance:=52664
2277-th query  distance:=19711.4
2278-th query  distance:=70539.7
2279-th query  distance:=61504.2
2280-th query  distance:=41155.8
2281-th query  distance:=57245.5
2282-th query  distance:=38563.4
2283-th query  distance:=53151.9
2284-th query  distance:=55220.2
2285-th query  distance:=39945.6
2286-th query  distance:=30558.1
2287-th query  distance:=1735.48
2288-th query  distance:=28382.6
2289-th query  distance:=26907.4
2290-th query  distance:=36172.3
2291-th query  distance:=56527.4
2292-th query  distance:=31030
2293-th query  distance:=46340
2294-th query  distance:=53233.1
2295-th query  distance:=53893.5
2296-th query  distance:=26713.9
2297-th query  distance:=44633.2
2298-th query  distance:=46712.9
2299-th query  distance:=29613.8
2300-th query  distance:=53643.3
2301-th query  distance:=25295.6
2302-th query  distance:=43040.6
2303-th query  distance:=7049.73
2304-th query  distance:=33157.4
2305-th query  distance:=46781.5
2306-th query  distance:=55037.3
2307-th query  distance:=53211.1
2308-th query  distance:=60399.1
2309-th query  distance:=32760.6
2310-th query  distance:=24506.4
2311-th query  distance:=18653.5
2312-th query  distance:=46478.2
2313-th query  distance:=33914
2314-th query  distance:=49586.5
2315-th query  distance:=77885.2
2316-th query  distance:=7944.4
2317-th query  distance:=42381.8
2318-th query  distance:=43331.3
2319-th query  distance:=73555.6
2320-th query  distance:=34108.9
2321-th query  distance:=45192.4
2322-th query  distance:=3518.68
2323-th query  distance:=47645.4
2324-th query  distance:=24603.1
2325-th query  distance:=25676.7
2326-th query  distance:=27737
2327-th query  distance:=10586.2
2328-th query  distance:=19407
2329-th query  distance:=12525
2330-th query  distance:=14883
2331-th query  distance:=55972.1
2332-th query  distance:=52622.1
2333-th query  distance:=8756.76
2334-th query  distance:=22990.7
2335-th query  distance:=34770
2336-th query  distance:=64070.1
2337-th query  distance:=59499.3
2338-th query  distance:=63378.8
2339-th query  distance:=13218
2340-th query  distance:=41386.5
2341-th query  distance:=40781
2342-th query  distance:=51314.2
2343-th query  distance:=58052.9
2344-th query  distance:=30047.8
2345-th query  distance:=54566.8
2346-th query  distance:=46537.9
2347-th query  distance:=16000.3
2348-th query  distance:=57978.2
2349-th query  distance:=51854.2
2350-th query  distance:=75417
2351-th query  distance:=18007.6
2352-th query  distance:=37696.2
2353-th query  distance:=29300.5
2354-th query  distance:=36592.7
2355-th query  distance:=70923.6
2356-th query  distance:=63678.7
2357-th query  distance:=28006.8
2358-th query  distance:=30070.7
2359-th query  distance:=18355.7
2360-th query  distance:=28232.1
2361-th query  distance:=40530
2362-th query  distance:=35748.7
2363-th query  distance:=53521.3
2364-th query  distance:=37671.9
2365-th query  distance:=20615.2
2366-th query  distance:=49151
2367-th query  distance:=54865.6
2368-th query  distance:=13809.9
2369-th query  distance:=51615.3
2370-th query  distance:=14834.7
2371-th query  distance:=56654.2
2372-th query  distance:=36306.7
2373-th query  distance:=55511.8
2374-th query  distance:=59203.9
2375-th query  distance:=34951.9
2376-th query  distance:=48270.5
2377-th query  distance:=33676.6
2378-th query  distance:=67533.8
2379-th query  distance:=25073
2380-th query  distance:=34854.4
2381-th query  distance:=46653.7
2382-th query  distance:=75791.2
2383-th query  distance:=48169.3
2384-th query  distance:=23419.7
2385-th query  distance:=37328.7
2386-th query  distance:=49677
2387-th query  distance:=23077.9
2388-th query  distance:=7865.15
2389-th query  distance:=37199.8
2390-th query  distance:=35188.5
2391-th query  distance:=41982.6
2392-th query  distance:=60507
2393-th query  distance:=4679.22
2394-th query  distance:=49815.6
2395-th query  distance:=41161
2396-th query  distance:=50971.4
2397-th query  distance:=22412.8
2398-th query  distance:=9132.7
2399-th query  distance:=60498.9
2400-th query  distance:=32674.6
2401-th query  distance:=20546.6
2402-th query  distance:=45965
2403-th query  distance:=35263.3
2404-th query  distance:=16796.6
2405-th query  distance:=44584.3
2406-th query  distance:=49975.9
2407-th query  distance:=60860.8
2408-th query  distance:=65269.4
2409-th query  distance:=40557.4
2410-th query  distance:=10037.2
2411-th query  distance:=39348.2
2412-th query  distance:=47751.6
2413-th query  distance:=37438.6
2414-th query  distance:=41449.3
2415-th query  distance:=73241.1
2416-th query  distance:=42739.8
2417-th query  distance:=12782.1
2418-th query  distance:=46670.5
2419-th query  distance:=11274.3
2420-th query  distance:=40128.6
2421-th query  distance:=39153
2422-th query  distance:=22336
2423-th query  distance:=44168
2424-th query  distance:=52721.3
2425-th query  distance:=75157.5
2426-th query  distance:=7888.98
2427-th query  distance:=60935.6
2428-th query  distance:=50538.7
2429-th query  distance:=30030.1
2430-th query  distance:=40342
2431-th query  distance:=38308.3
2432-th query  distance:=48900.7
2433-th query  distance:=66519.6
2434-th query  distance:=17844.2
2435-th query  distance:=65438.1
2436-th query  distance:=36281.2
2437-th query  distance:=46682.7
2438-th query  distance:=3844.47
2439-th query  distance:=22007.9
2440-th query  distance:=36207.3
2441-th query  distance:=26859.9
2442-th query  distance:=70053.9
2443-th query  distance:=18737.5
2444-th query  distance:=16584.8
2445-th query  distance:=54169.4
2446-th query  distance:=44523.6
2447-th query  distance:=17294.3
2448-th query  distance:=54850.2
2449-th query  distance:=38207.8
2450-th query  distance:=44762.2
2451-th query  distance:=55586
2452-th query  distance:=18266.7
2453-th query  distance:=32554.7
2454-th query  distance:=40441.2
2455-th query  distance:=24842.9
2456-th query  distance:=66693.9
2457-th query  distance:=52651.5
2458-th query  distance:=30602
2459-th query  distance:=53233.1
2460-th query  distance:=54684.5
2461-th query  distance:=24634.6
2462-th query  distance:=38366.6
2463-th query  distance:=33836.3
2464-th query  distance:=45749.5
2465-th query  distance:=52868.5
2466-th query  distance:=23697.5
2467-th query  distance:=60940.4
2468-th query  distance:=34218.3
2469-th query  distance:=39833.1
2470-th query  distance:=53138.8
2471-th query  distance:=23717.9
2472-th query  distance:=33873.7
2473-th query  distance:=61172.8
2474-th query  distance:=48874.6
2475-th query  distance:=11517.8
2476-th query  distance:=53610.9
2477-th query  distance:=57668
2478-th query  distance:=17148
2479-th query  distance:=30456.8
2480-th query  distance:=9728.03
2481-th query  distance:=66423.4
2482-th query  distance:=17423.1
2483-th query  distance:=53141.6
2484-th query  distance:=46334.1
2485-th query  distance:=75456.9
2486-th query  distance:=35872.9
2487-th query  distance:=18923
2488-th query  distance:=36418.3
2489-th query  distance:=9339.38
2490-th query  distance:=61997.7
2491-th query  distance:=22104.2
2492-th query  distance:=34496
2493-th query  distance:=37501.4
2494-th query  distance:=23218.3
2495-th query  distance:=41507.9
2496-th query  distance:=53350.1
2497-th query  distance:=10881.4
2498-th query  distance:=48224.6
2499-th query  distance:=34573.4
2500-th query  distance:=5177.9
2501-th query  distance:=39693.4
2502-th query  distance:=54950.6
2503-th query  distance:=31018
2504-th query  distance:=48605.3
2505-th query  distance:=27649.8
2506-th query  distance:=21171
2507-th query  distance:=51431.8
2508-th query  distance:=37521.3
2509-th query  distance:=39447.3
2510-th query  distance:=34915.5
2511-th query  distance:=35826.3
2512-th query  distance:=24113.4
2513-th query  distance:=43623.5
2514-th query  distance:=46779.9
2515-th query  distance:=54053.8
2516-th query  distance:=8926.64
2517-th query  distance:=34018.4
2518-th query  distance:=23154.2
2519-th query  distance:=48021.2
2520-th query  distance:=60779
2521-th query  distance:=1483.15
2522-th query  distance:=38595.5
2523-th query  distance:=66557.7
2524-th query  distance:=63116.6
2525-th query  distance:=15046.3
2526-th query  distance:=29972.2
2527-th query  distance:=32407.7
2528-th query  distance:=23539.1
2529-th query  distance:=40627.3
2530-th query  distance:=61125.1
2531-th query  distance:=41283.4
2532-th query  distance:=30272
2533-th query  distance:=41000.5
2534-th query  distance:=51372.7
2535-th query  distance:=26735.3
2536-th query  distance:=52738.5
2537-th query  distance:=23527.3
2538-th query  distance:=61393.6
2539-th query  distance:=28437.1
2540-th query  distance:=70196.4
2541-th query  distance:=30967.6
2542-th query  distance:=33766.5
2543-th query  distance:=65876
2544-th query  distance:=57410
2545-th query  distance:=34039.8
2546-th query  distance:=54365.9
2547-th query  distance:=50606.6
2548-th query  distance:=35601.6
2549-th query  distance:=55559.3
2550-th query  distance:=12636.4
2551-th query  distance:=49126.7
2552-th query  distance:=47416.2
2553-th query  distance:=33434.8
2554-th query  distance:=27098.4
2555-th query  distance:=12719.3
2556-th query  distance:=19550.3
2557-th query  distance:=57168.3
2558-th query  distance:=53508.6
2559-th query  distance:=40002.5
2560-th query  distance:=19036.7
2561-th query  distance:=77129.9
2562-th query  distance:=38197.7
2563-th query  distance:=29458
2564-th query  distance:=25452.8
2565-th query  distance:=7472.51
2566-th query  distance:=57821.4
2567-th query  distance:=64960.8
2568-th query  distance:=28207
2569-th query  distance:=32028.5
2570-th query  distance:=54820.7
2571-th query  distance:=49293.6
2572-th query  distance:=82056.8
2573-th query  distance:=24342.7
2574-th query  distance:=7355.17
2575-th query  distance:=4783.53
2576-th query  distance:=37287.2
2577-th query  distance:=20480.7
2578-th query  distance:=45780.9
2579-th query  distance:=72710.4
2580-th query  distance:=18279.2
2581-th query  distance:=20637
2582-th query  distance:=68192.6
2583-th query  distance:=34181.2
2584-th query  distance:=64638.9
2585-th query  distance:=41728
2586-th query  distance:=42504.9
2587-th query  distance:=64646.1
2588-th query  distance:=24084.9
2589-th query  distance:=40776.4
2590-th query  distance:=70426.6
2591-th query  distance:=34796.9
2592-th query  distance:=38474.4
2593-th query  distance:=44959.1
2594-th query  distance:=61749.5
2595-th query  distance:=22365.5
2596-th query  distance:=27165.6
2597-th query  distance:=30273.4
2598-th query  distance:=38517.8
2599-th query  distance:=43494.8
2600-th query  distance:=53885.4
2601-th query  distance:=41277.5
2602-th query  distance:=31173.7
2603-th query  distance:=12498.3
2604-th query  distance:=31111.5
2605-th query  distance:=69382.4
2606-th query  distance:=34815.8
2607-th query  distance:=8329.18
2608-th query  distance:=11608
2609-th query  distance:=19373.9
2610-th query  distance:=28217.9
