value range,counter,percentage,nth,HistogramType
[30000 ~ 40000),1437,0.1437,51,CENTROID
[40000 ~ 50000),2063,0.2063,51,CENTROID
[50000 ~ 60000),2352,0.2352,51,CENTROID
[60000 ~ 70000),1529,0.1529,51,CENTROID
[70000 ~ 80000),530,0.053,51,CENTROID
[80000 ~ 90000),145,0.0145,51,CENTROID
[90000 ~ 100000],26,0.0026,51,CENTROID
[0 ~ 10000),311,0.0311,52,CENTROID
[10000 ~ 20000),597,0.0597,52,CENTROID
[20000 ~ 30000),998,0.0998,52,CENTROID
[30000 ~ 40000),1430,0.143,52,CENTROID
[40000 ~ 50000),2057,0.2057,52,CENTROID
[50000 ~ 60000),2353,0.2353,52,CENTROID
[60000 ~ 70000),1541,0.1541,52,CENTROID
[70000 ~ 80000),534,0.0534,52,CENTROID
[80000 ~ 90000),148,0.0148,52,CENTROID
[90000 ~ 100000],26,0.0026,52,CENTROID
[0 ~ 10000),306,0.0306,53,CENTROID
[10000 ~ 20000),598,0.0598,53,CENTROID
[20000 ~ 30000),994,0.0994,53,CENTROID
[30000 ~ 40000),1424,0.1424,53,CENTROID
[40000 ~ 50000),2058,0.2058,53,CENTROID
[50000 ~ 60000),2351,0.2351,53,CENTROID
[60000 ~ 70000),1551,0.1551,53,CENTROID
[70000 ~ 80000),539,0.0539,53,CENTROID
[80000 ~ 90000),148,0.0148,53,CENTROID
[90000 ~ 100000],26,0.0026,53,CENTROID
[0 ~ 10000),306,0.0306,54,CENTROID
[10000 ~ 20000),595,0.0595,54,CENTROID
[20000 ~ 30000),992,0.0992,54,CENTROID
[30000 ~ 40000),1416,0.1416,54,CENTROID
[40000 ~ 50000),2056,0.2056,54,CENTROID
[50000 ~ 60000),2349,0.2349,54,CENTROID
[60000 ~ 70000),1561,0.1561,54,CENTROID
[70000 ~ 80000),544,0.0544,54,CENTROID
[80000 ~ 90000),150,0.015,54,CENTROID
[90000 ~ 100000],26,0.0026,54,CENTROID
[0 ~ 10000),302,0.0302,55,CENTROID
[10000 ~ 20000),599,0.0599,55,CENTROID
[20000 ~ 30000),984,0.0984,55,CENTROID
[30000 ~ 40000),1417,0.1417,55,CENTROID
[40000 ~ 50000),2035,0.2035,55,CENTROID
[50000 ~ 60000),2359,0.2359,55,CENTROID
[60000 ~ 70000),1569,0.1569,55,CENTROID
[70000 ~ 80000),554,0.0554,55,CENTROID
[80000 ~ 90000),150,0.015,55,CENTROID
[90000 ~ 100000],26,0.0026,55,CENTROID
[0 ~ 10000),298,0.0298,56,CENTROID
[10000 ~ 20000),601,0.0601,56,CENTROID
[20000 ~ 30000),978,0.0978,56,CENTROID
[30000 ~ 40000),1416,0.1416,56,CENTROID
[40000 ~ 50000),2025,0.2025,56,CENTROID
[50000 ~ 60000),2356,0.2356,56,CENTROID
[60000 ~ 70000),1579,0.1579,56,CENTROID
[70000 ~ 80000),564,0.0564,56,CENTROID
[80000 ~ 90000),151,0.0151,56,CENTROID
[90000 ~ 100000],27,0.0027,56,CENTROID
[0 ~ 10000),298,0.0298,57,CENTROID
[10000 ~ 20000),600,0.06,57,CENTROID
[20000 ~ 30000),973,0.0973,57,CENTROID
[30000 ~ 40000),1417,0.1417,57,CENTROID
[40000 ~ 50000),2017,0.2017,57,CENTROID
[50000 ~ 60000),2353,0.2353,57,CENTROID
[60000 ~ 70000),1582,0.1582,57,CENTROID
[70000 ~ 80000),572,0.0572,57,CENTROID
[80000 ~ 90000),156,0.0156,57,CENTROID
[90000 ~ 100000],27,0.0027,57,CENTROID
[0 ~ 10000),296,0.0296,58,CENTROID
[10000 ~ 20000),600,0.06,58,CENTROID
[20000 ~ 30000),968,0.0968,58,CENTROID
[30000 ~ 40000),1408,0.1408,58,CENTROID
[40000 ~ 50000),2013,0.2013,58,CENTROID
[50000 ~ 60000),2355,0.2355,58,CENTROID
[60000 ~ 70000),1590,0.159,58,CENTROID
[70000 ~ 80000),580,0.058,58,CENTROID
[80000 ~ 90000),158,0.0158,58,CENTROID
[90000 ~ 100000],27,0.0027,58,CENTROID
[0 ~ 10000),296,0.0296,59,CENTROID
[10000 ~ 20000),597,0.0597,59,CENTROID
[20000 ~ 30000),965,0.0965,59,CENTROID
[30000 ~ 40000),1398,0.1398,59,CENTROID
[40000 ~ 50000),2015,0.2015,59,CENTROID
[50000 ~ 60000),2354,0.2354,59,CENTROID
[60000 ~ 70000),1600,0.16,59,CENTROID
[70000 ~ 80000),580,0.058,59,CENTROID
[80000 ~ 90000),163,0.0163,59,CENTROID
[90000 ~ 100000],27,0.0027,59,CENTROID
[0 ~ 10000),293,0.0293,60,CENTROID
[10000 ~ 20000),596,0.0596,60,CENTROID
[20000 ~ 30000),961,0.0961,60,CENTROID
[30000 ~ 40000),1393,0.1393,60,CENTROID
[40000 ~ 50000),2020,0.202,60,CENTROID
[50000 ~ 60000),2346,0.2346,60,CENTROID
[60000 ~ 70000),1600,0.16,60,CENTROID
[70000 ~ 80000),593,0.0593,60,CENTROID
[80000 ~ 90000),166,0.0166,60,CENTROID
[90000 ~ 100000],27,0.0027,60,CENTROID
[0 ~ 10000),293,0.0293,61,CENTROID
[10000 ~ 20000),593,0.0593,61,CENTROID
[20000 ~ 30000),951,0.0951,61,CENTROID
[30000 ~ 40000),1394,0.1394,61,CENTROID
[40000 ~ 50000),2017,0.2017,61,CENTROID
[50000 ~ 60000),2341,0.2341,61,CENTROID
[60000 ~ 70000),1608,0.1608,61,CENTROID
[70000 ~ 80000),603,0.0603,61,CENTROID
[80000 ~ 90000),168,0.0168,61,CENTROID
[90000 ~ 100000],27,0.0027,61,CENTROID
[0 ~ 10000),293,0.0293,62,CENTROID
[10000 ~ 20000),593,0.0593,62,CENTROID
[20000 ~ 30000),946,0.0946,62,CENTROID
[30000 ~ 40000),1387,0.1387,62,CENTROID
[40000 ~ 50000),2016,0.2016,62,CENTROID
[50000 ~ 60000),2336,0.2336,62,CENTROID
[60000 ~ 70000),1619,0.1619,62,CENTROID
[70000 ~ 80000),609,0.0609,62,CENTROID
[80000 ~ 90000),168,0.0168,62,CENTROID
[90000 ~ 100000],28,0.0028,62,CENTROID
[0 ~ 10000),293,0.0293,63,CENTROID
[10000 ~ 20000),591,0.0591,63,CENTROID
[20000 ~ 30000),940,0.094,63,CENTROID
[30000 ~ 40000),1383,0.1383,63,CENTROID
[40000 ~ 50000),2009,0.2009,63,CENTROID
[50000 ~ 60000),2335,0.2335,63,CENTROID
[60000 ~ 70000),1633,0.1633,63,CENTROID
[70000 ~ 80000),613,0.0613,63,CENTROID
[80000 ~ 90000),170,0.017,63,CENTROID
[90000 ~ 100000],28,0.0028,63,CENTROID
[0 ~ 10000),291,0.0291,64,CENTROID
[10000 ~ 20000),590,0.059,64,CENTROID
[20000 ~ 30000),930,0.093,64,CENTROID
[30000 ~ 40000),1381,0.1381,64,CENTROID
[40000 ~ 50000),2011,0.2011,64,CENTROID
[50000 ~ 60000),2332,0.2332,64,CENTROID
[60000 ~ 70000),1639,0.1639,64,CENTROID
[70000 ~ 80000),617,0.0617,64,CENTROID
[80000 ~ 90000),174,0.0174,64,CENTROID
[90000 ~ 100000],30,0.003,64,CENTROID
[0 ~ 10000),290,0.029,65,CENTROID
[10000 ~ 20000),590,0.059,65,CENTROID
[20000 ~ 30000),926,0.0926,65,CENTROID
[30000 ~ 40000),1374,0.1374,65,CENTROID
[40000 ~ 50000),2005,0.2005,65,CENTROID
[50000 ~ 60000),2336,0.2336,65,CENTROID
[60000 ~ 70000),1643,0.1643,65,CENTROID
[70000 ~ 80000),623,0.0623,65,CENTROID
[80000 ~ 90000),178,0.0178,65,CENTROID
[90000 ~ 100000],30,0.003,65,CENTROID
[0 ~ 10000),289,0.0289,66,CENTROID
[10000 ~ 20000),588,0.0588,66,CENTROID
[20000 ~ 30000),923,0.0923,66,CENTROID
[30000 ~ 40000),1366,0.1366,66,CENTROID
[40000 ~ 50000),2000,0.2,66,CENTROID
[50000 ~ 60000),2335,0.2335,66,CENTROID
[60000 ~ 70000),1654,0.1654,66,CENTROID
[70000 ~ 80000),631,0.0631,66,CENTROID
[80000 ~ 90000),177,0.0177,66,CENTROID
[90000 ~ 100000],32,0.0032,66,CENTROID
[0 ~ 10000),288,0.0288,67,CENTROID
[10000 ~ 20000),587,0.0587,67,CENTROID
[20000 ~ 30000),922,0.0922,67,CENTROID
[30000 ~ 40000),1360,0.136,67,CENTROID
[40000 ~ 50000),1993,0.1993,67,CENTROID
[50000 ~ 60000),2339,0.2339,67,CENTROID
[60000 ~ 70000),1658,0.1658,67,CENTROID
[70000 ~ 80000),633,0.0633,67,CENTROID
[80000 ~ 90000),182,0.0182,67,CENTROID
[90000 ~ 100000],33,0.0033,67,CENTROID
[0 ~ 10000),287,0.0287,68,CENTROID
[10000 ~ 20000),585,0.0585,68,CENTROID
[20000 ~ 30000),922,0.0922,68,CENTROID
[30000 ~ 40000),1355,0.1355,68,CENTROID
[40000 ~ 50000),1982,0.1982,68,CENTROID
[50000 ~ 60000),2342,0.2342,68,CENTROID
[60000 ~ 70000),1669,0.1669,68,CENTROID
[70000 ~ 80000),634,0.0634,68,CENTROID
[80000 ~ 90000),185,0.0185,68,CENTROID
[90000 ~ 100000],34,0.0034,68,CENTROID
[0 ~ 10000),287,0.0287,69,CENTROID
[10000 ~ 20000),584,0.0584,69,CENTROID
[20000 ~ 30000),919,0.0919,69,CENTROID
[30000 ~ 40000),1353,0.1353,69,CENTROID
[40000 ~ 50000),1969,0.1969,69,CENTROID
[50000 ~ 60000),2348,0.2348,69,CENTROID
[60000 ~ 70000),1676,0.1676,69,CENTROID
[70000 ~ 80000),640,0.064,69,CENTROID
[80000 ~ 90000),184,0.0184,69,CENTROID
[90000 ~ 100000],35,0.0035,69,CENTROID
[0 ~ 10000),287,0.0287,70,CENTROID
[10000 ~ 20000),579,0.0579,70,CENTROID
[20000 ~ 30000),919,0.0919,70,CENTROID
[30000 ~ 40000),1351,0.1351,70,CENTROID
[40000 ~ 50000),1968,0.1968,70,CENTROID
[50000 ~ 60000),2344,0.2344,70,CENTROID
[60000 ~ 70000),1687,0.1687,70,CENTROID
[70000 ~ 80000),639,0.0639,70,CENTROID
[80000 ~ 90000),185,0.0185,70,CENTROID
[90000 ~ 100000],36,0.0036,70,CENTROID
[0 ~ 10000),287,0.0287,71,CENTROID
[10000 ~ 20000),577,0.0577,71,CENTROID
[20000 ~ 30000),917,0.0917,71,CENTROID
[30000 ~ 40000),1346,0.1346,71,CENTROID
[40000 ~ 50000),1963,0.1963,71,CENTROID
[50000 ~ 60000),2349,0.2349,71,CENTROID
[60000 ~ 70000),1689,0.1689,71,CENTROID
[70000 ~ 80000),643,0.0643,71,CENTROID
[80000 ~ 90000),188,0.0188,71,CENTROID
[90000 ~ 100000],36,0.0036,71,CENTROID
[0 ~ 10000),286,0.0286,72,CENTROID
[10000 ~ 20000),575,0.0575,72,CENTROID
[20000 ~ 30000),917,0.0917,72,CENTROID
[30000 ~ 40000),1340,0.134,72,CENTROID
[40000 ~ 50000),1962,0.1962,72,CENTROID
[50000 ~ 60000),2347,0.2347,72,CENTROID
[60000 ~ 70000),1696,0.1696,72,CENTROID
[70000 ~ 80000),646,0.0646,72,CENTROID
[80000 ~ 90000),189,0.0189,72,CENTROID
[90000 ~ 100000],37,0.0037,72,CENTROID
[0 ~ 10000),285,0.0285,73,CENTROID
[10000 ~ 20000),571,0.0571,73,CENTROID
[20000 ~ 30000),919,0.0919,73,CENTROID
[30000 ~ 40000),1327,0.1327,73,CENTROID
[40000 ~ 50000),1959,0.1959,73,CENTROID
[50000 ~ 60000),2357,0.2357,73,CENTROID
[60000 ~ 70000),1694,0.1694,73,CENTROID
[70000 ~ 80000),655,0.0655,73,CENTROID
[80000 ~ 90000),190,0.019,73,CENTROID
[90000 ~ 100000],37,0.0037,73,CENTROID
[0 ~ 10000),284,0.0284,74,CENTROID
[10000 ~ 20000),570,0.057,74,CENTROID
[20000 ~ 30000),916,0.0916,74,CENTROID
[30000 ~ 40000),1320,0.132,74,CENTROID
[40000 ~ 50000),1957,0.1957,74,CENTROID
[50000 ~ 60000),2359,0.2359,74,CENTROID
[60000 ~ 70000),1699,0.1699,74,CENTROID
[70000 ~ 80000),661,0.0661,74,CENTROID
[80000 ~ 90000),191,0.0191,74,CENTROID
[90000 ~ 100000],36,0.0036,74,CENTROID
[0 ~ 10000),281,0.0281,75,CENTROID
[10000 ~ 20000),570,0.057,75,CENTROID
[20000 ~ 30000),917,0.0917,75,CENTROID
[30000 ~ 40000),1310,0.131,75,CENTROID
[40000 ~ 50000),1962,0.1962,75,CENTROID
[50000 ~ 60000),2342,0.2342,75,CENTROID
[60000 ~ 70000),1714,0.1714,75,CENTROID
[70000 ~ 80000),669,0.0669,75,CENTROID
[80000 ~ 90000),192,0.0192,75,CENTROID
[90000 ~ 100000],36,0.0036,75,CENTROID
[0 ~ 10000),281,0.0281,76,CENTROID
[10000 ~ 20000),568,0.0568,76,CENTROID
[20000 ~ 30000),913,0.0913,76,CENTROID
[30000 ~ 40000),1308,0.1308,76,CENTROID
[40000 ~ 50000),1953,0.1953,76,CENTROID
[50000 ~ 60000),2346,0.2346,76,CENTROID
[60000 ~ 70000),1722,0.1722,76,CENTROID
[70000 ~ 80000),672,0.0672,76,CENTROID
[80000 ~ 90000),194,0.0194,76,CENTROID
[90000 ~ 100000],36,0.0036,76,CENTROID
[0 ~ 10000),281,0.0281,77,CENTROID
[10000 ~ 20000),565,0.0565,77,CENTROID
[20000 ~ 30000),913,0.0913,77,CENTROID
[30000 ~ 40000),1303,0.1303,77,CENTROID
[40000 ~ 50000),1947,0.1947,77,CENTROID
[50000 ~ 60000),2338,0.2338,77,CENTROID
[60000 ~ 70000),1736,0.1736,77,CENTROID
[70000 ~ 80000),677,0.0677,77,CENTROID
[80000 ~ 90000),197,0.0197,77,CENTROID
[90000 ~ 100000],36,0.0036,77,CENTROID
[0 ~ 10000),280,0.028,78,CENTROID
[10000 ~ 20000),561,0.0561,78,CENTROID
[20000 ~ 30000),913,0.0913,78,CENTROID
[30000 ~ 40000),1296,0.1296,78,CENTROID
[40000 ~ 50000),1942,0.1942,78,CENTROID
[50000 ~ 60000),2338,0.2338,78,CENTROID
[60000 ~ 70000),1747,0.1747,78,CENTROID
[70000 ~ 80000),679,0.0679,78,CENTROID
[80000 ~ 90000),201,0.0201,78,CENTROID
[90000 ~ 100000],36,0.0036,78,CENTROID
[0 ~ 10000),278,0.0278,79,CENTROID
[10000 ~ 20000),560,0.056,79,CENTROID
[20000 ~ 30000),912,0.0912,79,CENTROID
[30000 ~ 40000),1293,0.1293,79,CENTROID
[40000 ~ 50000),1931,0.1931,79,CENTROID
[50000 ~ 60000),2344,0.2344,79,CENTROID
[60000 ~ 70000),1744,0.1744,79,CENTROID
[70000 ~ 80000),691,0.0691,79,CENTROID
[80000 ~ 90000),204,0.0204,79,CENTROID
[90000 ~ 100000],36,0.0036,79,CENTROID
[0 ~ 10000),278,0.0278,80,CENTROID
[10000 ~ 20000),559,0.0559,80,CENTROID
[20000 ~ 30000),906,0.0906,80,CENTROID
[30000 ~ 40000),1292,0.1292,80,CENTROID
[40000 ~ 50000),1924,0.1924,80,CENTROID
[50000 ~ 60000),2349,0.2349,80,CENTROID
[60000 ~ 70000),1746,0.1746,80,CENTROID
[70000 ~ 80000),696,0.0696,80,CENTROID
[80000 ~ 90000),207,0.0207,80,CENTROID
[90000 ~ 100000],36,0.0036,80,CENTROID
[0 ~ 10000),277,0.0277,81,CENTROID
[10000 ~ 20000),558,0.0558,81,CENTROID
[20000 ~ 30000),904,0.0904,81,CENTROID
[30000 ~ 40000),1286,0.1286,81,CENTROID
[40000 ~ 50000),1926,0.1926,81,CENTROID
[50000 ~ 60000),2350,0.235,81,CENTROID
[60000 ~ 70000),1744,0.1744,81,CENTROID
[70000 ~ 80000),700,0.07,81,CENTROID
[80000 ~ 90000),212,0.0212,81,CENTROID
[90000 ~ 100000],36,0.0036,81,CENTROID
[0 ~ 10000),276,0.0276,82,CENTROID
[10000 ~ 20000),555,0.0555,82,CENTROID
[20000 ~ 30000),904,0.0904,82,CENTROID
[30000 ~ 40000),1279,0.1279,82,CENTROID
[40000 ~ 50000),1922,0.1922,82,CENTROID
[50000 ~ 60000),2357,0.2357,82,CENTROID
[60000 ~ 70000),1742,0.1742,82,CENTROID
[70000 ~ 80000),707,0.0707,82,CENTROID
[80000 ~ 90000),215,0.0215,82,CENTROID
[90000 ~ 100000],36,0.0036,82,CENTROID
[0 ~ 10000),276,0.0276,83,CENTROID
[10000 ~ 20000),554,0.0554,83,CENTROID
[20000 ~ 30000),896,0.0896,83,CENTROID
[30000 ~ 40000),1282,0.1282,83,CENTROID
[40000 ~ 50000),1919,0.1919,83,CENTROID
[50000 ~ 60000),2354,0.2354,83,CENTROID
[60000 ~ 70000),1745,0.1745,83,CENTROID
[70000 ~ 80000),713,0.0713,83,CENTROID
[80000 ~ 90000),218,0.0218,83,CENTROID
[90000 ~ 100000],36,0.0036,83,CENTROID
[0 ~ 10000),274,0.0274,84,CENTROID
[10000 ~ 20000),554,0.0554,84,CENTROID
[20000 ~ 30000),894,0.0894,84,CENTROID
[30000 ~ 40000),1277,0.1277,84,CENTROID
[40000 ~ 50000),1915,0.1915,84,CENTROID
[50000 ~ 60000),2357,0.2357,84,CENTROID
[60000 ~ 70000),1746,0.1746,84,CENTROID
[70000 ~ 80000),722,0.0722,84,CENTROID
[80000 ~ 90000),218,0.0218,84,CENTROID
[90000 ~ 100000],36,0.0036,84,CENTROID
[0 ~ 10000),274,0.0274,85,CENTROID
[10000 ~ 20000),554,0.0554,85,CENTROID
[20000 ~ 30000),891,0.0891,85,CENTROID
[30000 ~ 40000),1266,0.1266,85,CENTROID
[40000 ~ 50000),1922,0.1922,85,CENTROID
[50000 ~ 60000),2351,0.2351,85,CENTROID
[60000 ~ 70000),1753,0.1753,85,CENTROID
[70000 ~ 80000),727,0.0727,85,CENTROID
[80000 ~ 90000),219,0.0219,85,CENTROID
[90000 ~ 100000],36,0.0036,85,CENTROID
[0 ~ 10000),273,0.0273,86,CENTROID
[10000 ~ 20000),552,0.0552,86,CENTROID
[20000 ~ 30000),889,0.0889,86,CENTROID
[30000 ~ 40000),1257,0.1257,86,CENTROID
[40000 ~ 50000),1921,0.1921,86,CENTROID
[50000 ~ 60000),2359,0.2359,86,CENTROID
[60000 ~ 70000),1755,0.1755,86,CENTROID
[70000 ~ 80000),730,0.073,86,CENTROID
[80000 ~ 90000),220,0.022,86,CENTROID
[90000 ~ 100000],37,0.0037,86,CENTROID
[0 ~ 10000),272,0.0272,87,CENTROID
[10000 ~ 20000),553,0.0553,87,CENTROID
[20000 ~ 30000),888,0.0888,87,CENTROID
[30000 ~ 40000),1248,0.1248,87,CENTROID
[40000 ~ 50000),1921,0.1921,87,CENTROID
[50000 ~ 60000),2357,0.2357,87,CENTROID
[60000 ~ 70000),1760,0.176,87,CENTROID
[70000 ~ 80000),734,0.0734,87,CENTROID
[80000 ~ 90000),223,0.0223,87,CENTROID
[90000 ~ 100000],37,0.0037,87,CENTROID
[0 ~ 10000),272,0.0272,88,CENTROID
[10000 ~ 20000),550,0.055,88,CENTROID
[20000 ~ 30000),888,0.0888,88,CENTROID
[30000 ~ 40000),1236,0.1236,88,CENTROID
[40000 ~ 50000),1931,0.1931,88,CENTROID
[50000 ~ 60000),2344,0.2344,88,CENTROID
[60000 ~ 70000),1770,0.177,88,CENTROID
[70000 ~ 80000),742,0.0742,88,CENTROID
[80000 ~ 90000),223,0.0223,88,CENTROID
[90000 ~ 100000],37,0.0037,88,CENTROID
[0 ~ 10000),272,0.0272,89,CENTROID
[10000 ~ 20000),545,0.0545,89,CENTROID
[20000 ~ 30000),890,0.089,89,CENTROID
[30000 ~ 40000),1231,0.1231,89,CENTROID
[40000 ~ 50000),1926,0.1926,89,CENTROID
[50000 ~ 60000),2352,0.2352,89,CENTROID
[60000 ~ 70000),1771,0.1771,89,CENTROID
[70000 ~ 80000),745,0.0745,89,CENTROID
[80000 ~ 90000),223,0.0223,89,CENTROID
[90000 ~ 100000],38,0.0038,89,CENTROID
[0 ~ 10000),271,0.0271,90,CENTROID
[10000 ~ 20000),544,0.0544,90,CENTROID
[20000 ~ 30000),889,0.0889,90,CENTROID
[30000 ~ 40000),1230,0.123,90,CENTROID
[40000 ~ 50000),1918,0.1918,90,CENTROID
[50000 ~ 60000),2352,0.2352,90,CENTROID
[60000 ~ 70000),1779,0.1779,90,CENTROID
[70000 ~ 80000),748,0.0748,90,CENTROID
[80000 ~ 90000),224,0.0224,90,CENTROID
[90000 ~ 100000],38,0.0038,90,CENTROID
